u,v,key,street_name,traffic_volume,relative_traffic
108658852,108711681,0,Northwynd Drive,32,0.015180265654648957
108665628,108690917,0,Slaymaker Place,2,0.0009487666034155598
108665628,108690921,0,Possum Court,6,0.0028462998102466793
108665662,108665703,0,East Lake Drive,36,0.017077798861480076
108665662,108722417,0,Buttercup Terrace,22,0.010436432637571158
108665703,108722417,0,Buttercup Terrace,60,0.028462998102466792
108665715,108665720,0,East Lake Drive,30,0.014231499051233396
108665720,108682229,0,Empire Court,6,0.0028462998102466793
108665755,108707896,0,Tiffany Court,8,0.003795066413662239
108666873,108666875,0,Orchid Court,2,0.0009487666034155598
108669979,108711681,0,Northwynd Drive,20,0.009487666034155597
108677763,108677770,0,Log Tavern Road,0,0.0
108677770,108711886,0,Log Tavern Drive,10,0.004743833017077799
108682251,7782178453,0,Spring Court,4,0.0018975332068311196
108728365,108742442,0,Lancaster Road,4,0.0018975332068311196
108739617,108741569,0,Misty Cove Lane,2,0.0009487666034155598
